Column,Metafileheading,Metafile description,Flags
58,"TALLPPE_AGEN,","Points per entry, of the  Applied General Cohort, included in performance measures.",
59,"TALLPPE_GRD_AGEN,","Points per entry, as a Grade, of the  Applied General Cohort, included in performance measures.",
60,VA_AGEN_1618,"Value Added, for Applied general Cohort, ,included in performance measures.",
61,LCI_AGEN_1618,"Lower Confidence Interval, for Applied general Cohort, ,included in performance measures.",
62,UCI_AGEN_1618,"Upper Confidence Interval, for Applied general Cohort, ,included in performance measures.",
63,PB_AGEN_1618,"Progress Band, for Applied general Cohort, ,included in performance measures.",
64,TALLPUP_AGEN_DIS_MATPTINC,"Number of students in the  Applied General Cohort, Disadvantaged, included in performance measures.",
65,"TALLSCR_AGEN_DIS,","Total Average Point Score, of the  Applied General Cohort, Disadvantaged, included in performance measures.",
66,"TALLENT_AGEN_DIS,","Total number of entries, of the  Applied General Cohort, Disadvantaged, included in performance measures.",
67,"TALLPPE_AGEN_DIS,","Points per entry, of the  Applied General Cohort, Disadvantaged, included in performance measures.",
68,"TALLPPE_GRD_AGEN_DIS,","Points per entry, as a Grade, of the  Applied General Cohort, Disadvantaged, included in performance measures.",
69,"perc_DIS_AGEN,",Percentage of students in AGEN cohort have disadvantaged status,
70,VA_AGEN_1618_DIS,"Value Added, for Applied general Cohort, disadvantaged,included in performance measures.",
71,LCI_AGEN_1618_DIS,"Lower Confidence Interval, for Applied general Cohort, disadvantaged,included in performance measures.",
72,UCI_AGEN_1618_DIS,"Upper Confidence Interval, for Applied general Cohort, disadvantaged,included in performance measures.",
73,TALLPUP_AGEN_NOTDIS_MATPTINC,"Number of studentsin the Applied General Cohort, Not Disadvantaged, included in performance measures.",
74,"TALLSCR_AGEN_NOTDIS,","Total Average Point Score, of the  Applied General Cohort, Not Disadvantaged, included in performance measures.",
75,"TALLENT_AGEN_NOTDIS,","Total number of entries, of the  Applied General Cohort, Not Disadvantaged, included in performance measures.",
76,"TALLPPE_AGEN_NOTDIS,","Points per entry, of the  Applied General Cohort, Not Disadvantaged, included in performance measures.",
77,"TALLPPE_GRD_AGEN_NOTDIS,","Points per entry, as a Grade, of the  Applied General Cohort, Not Disadvantaged, included in performance measures.",
78,VA_AGEN_1618_NOTDIS,"Value Added, for Applied general Cohort, Not disadvantaged,included in performance measures.",
79,LCI_AGEN_1618_NOTDIS,"Lower Confidence Interval, for Applied general Cohort, Not disadvantaged,included in performance measures.",
80,UCI_AGEN_1618_NOTDIS,"Upper Confidence Interval, for Applied general Cohort, Not disadvantaged,included in performance measures.",
81,INSTITUTIONS_INMAT,List of all Institutions in the MAT ,
82,NUMINST_1618_INMAT,Number of Academies,
83,NUMINST_1618_SPONSOR_INMAT,Number of Converter Academies,
84,NUMINST_1618_CONVERTER_INMAT,Number of Sponsor Academies,
85,NUMINST_1618_FREE_INMAT,Number of Free Schools,
86,NUMINST_1618_UTC_INMAT,Number of University technical colleges,
87,NUMINST_1618_STUDIO_INMAT,Number of Studio schools,
88,NUMINST_ACAD_INMAT,"Number of Academies, for the Academic Cohort",
89,NUMINST_ACAD_SPONSOR_INMAT,"Number of Converter Academies, for the Academic Cohort",
90,NUMINST_ACAD_CONVERTER_INMAT,"Number of Sponsor Academies, for the Academic Cohort",
91,NUMINST_ACAD_FREE_INMAT,"Number of Free Schools, for the Academic Cohort",
92,NUMINST_ACAD_UTC_INMAT,"Number of University technical colleges, for the Academic Cohort",
93,NUMINST_ACAD_STUDIO_INMAT,"Number of Studio schools, for the Academic Cohort",
94,NUMINST_AGEN_INMAT,"Number of Academies, for the Applied General Cohort",
95,NUMINST_AGEN_SPONSOR_INMAT,"Number of Converter Academies, for the Applied General Cohort",
96,NUMINST_AGEN_CONVERTER_INMAT,"Number of Sponsor Academies, for the Applied General Cohort",
97,NUMINST_AGEN_FREE_INMAT,"Number of Free Schools, for the Applied General Cohort",
98,NUMINST_AGEN_UTC_INMAT,"Number of University technical colleges, for the Applied General Cohort",
99,NUMINST_ACAD_STUDIO_INMAT,"Number of Studio schools, for the Applied General Cohort",
100,TALLPUP_1618_INMAT,Number of students ,
101,TALLPUP_ACAD_INMAT,Number of students in the Academic Cohort,
102,TALLPUP_ACAD_DIS_INMAT,"Number of students in the Academic Cohort, Disadvantaged,",
103,TALLPUP_ACAD_NOTDIS_INMAT,"Number of students in the Academic Cohort, Not Disadvantaged",
104,TALLPUP_AGEN_INMAT,Number of students in the Applied General Cohort,
105,TALLPUP_AGEN_DIS_INMAT,"Number of students in the Applied General Cohort, Disadvantaged",
106,TALLPUP_AGEN_NOTDIS_INMAT,"Number of students in the Applied General Cohort, Not Disadvantaged",
