"TIME_PERIOD","TIME_IDENTIFIER","TRUST_GROUP_TYPE","TRUST_NAME","TRUST_UID","TRUST_ID","TRUST_COMPANIES_HOUSE_NUMBER","TRUST_UKPRN","TRUST_LEADREGION","INSTITUTIONS_MATPTINC","NUMINST_ACAD_MATPTINC","NUMINST_ACAD_CONVERTER_MATPTINC","NUMINST_ACAD_SPONSOR_MATPTINC","NUMINST_ACAD_FREE_MATPTINC","NUMINST_ACAD_UTC_MATPTINC","NUMINST_ACAD_STUDIO_MATPTINC","NUMINST_ACAD_3_MATPTINC","NUMINST_ACAD_4_MATPTINC","NUMINST_ACAD_5PLUS_MATPTINC","NUMINST_AGEN_MATPTINC","NUMINST_AGEN_CONVERTER_MATPTINC","NUMINST_AGEN_SPONSOR_MATPTINC","NUMINST_AGEN_FREE_MATPTINC","NUMINST_AGEN_UTC_MATPTINC","NUMINST_AGEN_STUDIO_MATPTINC","NUMINST_AGEN_3_MATPTINC","NUMINST_AGEN_4_MATPTINC","NUMINST_AGEN_5PLUS_MATPTINC","TALLPUP_ACAD_MATPTINC","TALLSCR_ACAD_1618","TALLENT_ACAD_1618","TALLPPE_ACAD_1618","TALLPPE_GRD_ACAD_1618","TALLPUP_ACAD_DIS_MATPTINC","TALLSCR_ACAD_1618_DIS","TALLENT_ACAD_1618_DIS","TALLPPE_ACAD_1618_DIS","TALLPPE_GRD_ACAD_1618_DIS","perc_DIS_ACAD","TALLPUP_ACAD_NOTDIS_MATPTINC","TALLSCR_ACAD_1618_NOTDIS","TALLENT_ACAD_1618_NOTDIS","TALLPPE_ACAD_1618_NOTDIS","TALLPPE_GRD_ACAD_1618_NOTDIS","TALLPUP_AGEN_MATPTINC","TALLSCR_AGEN","TALLENT_AGEN","TALLPPE_AGEN","TALLPPE_GRD_AGEN","TALLPUP_AGEN_DIS_MATPTINC","TALLSCR_AGEN_DIS","TALLENT_AGEN_DIS","TALLPPE_AGEN_DIS","TALLPPE_GRD_AGEN_DIS","perc_DIS_AGEN","TALLPUP_AGEN_NOTDIS_MATPTINC","TALLSCR_AGEN_NOTDIS","TALLENT_AGEN_NOTDIS","TALLPPE_AGEN_NOTDIS","TALLPPE_GRD_AGEN_NOTDIS","INSTITUTIONS_INMAT","NUMINST_1618_INMAT","NUMINST_1618_CONVERTER_INMAT","NUMINST_1618_SPONSOR_INMAT","NUMINST_1618_FREE_INMAT","NUMINST_1618_UTC_INMAT","NUMINST_1618_STUDIO_INMAT","NUMINST_ACAD_INMAT","NUMINST_ACAD_CONVERTER_INMAT","NUMINST_ACAD_SPONSOR_INMAT","NUMINST_ACAD_FREE_INMAT","NUMINST_ACAD_UTC_INMAT","NUMINST_ACAD_STUDIO_INMAT","NUMINST_AGEN_INMAT","NUMINST_AGEN_CONVERTER_INMAT","NUMINST_AGEN_SPONSOR_INMAT","NUMINST_AGEN_FREE_INMAT","NUMINST_AGEN_UTC_INMAT","NUMINST_AGEN_STUDIO_INMAT","TALLPUP_1618_INMAT","TALLPUP_ACAD_INMAT","TALLPUP_ACAD_DIS_INMAT","TALLPUP_ACAD_NOTDIS_INMAT","TALLPUP_AGEN_INMAT","TALLPUP_AGEN_DIS_INMAT","TALLPUP_AGEN_NOTDIS_INMAT"
202223,"AcademicYear","Multi-academy trust","BECKFOOT TRUST",2270,"TR00163",8155088,10059960,"Yorkshire and the Humber","143112, 143114, 139975",3,1,2,0,0,0,0,0,3,3,1,2,0,0,0,0,0,3,"255","19653","638","30.8","C","49","3058","109.2","28","C-","19%","206","16595","528.8","31.38","C","118","5172","169","30.6","Dist-","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","143112, 143114, 139975",3,1,2,0,0,0,3,1,2,0,0,0,3,1,2,0,0,0,295,255,49,206,118,30,88
202223,"AcademicYear","Multi-academy trust","BETTER FUTURES MULTI-ACADEMY TRUST",17150,"TR03673",10817914,10081879,"West Midlands","147285, 147756, 145174",3,3,0,0,0,0,2,1,0,3,3,0,0,0,0,2,1,0,"1516","121390","3927.6","30.91","C","239","16425","607.5","27.04","C-","16%","1270","104230","3300.8","31.58","C","848","43777","1487","29.44","Merit+","154","7571","271.5","27.89","Merit+","18%","683","35506","1195","29.71","Merit+","147285, 147756, 145174",3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,2304,1516,239,1270,848,154,683
202223,"AcademicYear","Multi-academy trust","BEYOND SCHOOLS TRUST",3123,"TR00810",7401701,10058382,"South East","138511, 136337, 137376",3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"209","17144","524.9","32.66","C+","39","2800","92","30.43","C","19%","170","14344","432.9","33.13","C+","SUPP","SUPP","SUPP","SUPP","SUPP","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","138511, 136337, 137376",3,2,1,0,0,0,3,2,1,0,0,0,2,1,1,0,0,0,252,209,39,170,80,17,63
202223,"AcademicYear","Multi-academy trust","BISHOP BEWICK CATHOLIC EDUCATION TRUST",16761,"TR01843",7841435,10059424,"North East","140081, 137708, 141814",3,3,0,0,0,0,2,0,1,3,3,0,0,0,0,2,0,1,"298","29487","806.6","36.56","B-","51","4375","124.7","35.08","B-","17%","245","24840","675.6","36.77","B-","95","5522.5","163","33.88","Dist","23","1362.5","39.5","34.49","Dist","24%","72","4160","123.5","33.68","Dist","140081, 137900, 137708, 137734, 141814",5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,569,481,80,399,181,43,138
202223,"AcademicYear","Multi-academy trust","BISHOP CHADWICK CATHOLIC EDUCATION TRUST",16013,"TR03359",9940352,10061060,"North East","139878, 142601, 139538, 138054",4,4,0,0,0,0,2,1,1,4,4,0,0,0,0,2,1,1,"291","25094","786.3","31.91","C+","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","96","4650","145","32.07","Dist-","15","620","21","29.52","Merit+","16%","81","4030","124","32.5","Dist-","148304, 139878, 142601, 139538, 138054",5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,404,321,39,281,110,17,93
202223,"AcademicYear","Multi-academy trust","BISHOP HOGARTH CATHOLIC EDUCATION TRUST",2548,"TR00392",7808732,10055116,"North East","140867, 137702, 137622",3,3,0,0,0,0,2,0,1,3,3,0,0,0,0,2,0,1,"295","27796","782.8","35.51","B-","36","3066","93.1","32.93","C+","12%","257","24440","683.7","35.75","B-","95","4382.5","134","32.71","Dist-","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","140867, 137702, 137622",3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,356,295,36,257,95,15,80
202223,"AcademicYear","Multi-academy trust","BISHOP WILKINSON CATHOLIC EDUCATION TRUST",16035,"TR00390",7890590,10059486,"North East","143583, 138172, 137852, 137851, 147142",5,5,0,0,0,0,3,1,1,5,5,0,0,0,0,3,1,1,"539","50841","1461.9","34.78","C+","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","144","7937.5","254.5","31.19","Dist-","26","1592.5","53.5","29.77","Merit+","18%","118","6345","201","31.57","Dist-","143583, 138172, 137852, 137851, 147142",5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,680,539,52,486,144,26,118
202223,"AcademicYear","Multi-academy trust","BMAT EDUCATION",2497,"TR00353",7843166,10059426,"East of England","143697, 145050, 145931",3,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,"96","7686","252.9","30.39","C","8","509","21.6","23.56","D+","8%","85","6977","222.3","31.39","C","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","143697, 145050, 145931",3,0,1,1,1,0,3,0,1,1,1,0,2,0,1,0,1,0,139,96,8,85,53,6,46
202223,"AcademicYear","Multi-academy trust","CENTRAL LEARNING PARTNERSHIP TRUST",2594,"TR00427",7827368,10059395,"West Midlands","138098, 145114, 137730",3,1,2,0,0,0,0,0,3,3,1,2,0,0,0,0,0,3,"189","9267","356.5","25.99","C-","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","175","11935","330.5","36.11","Dist","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","138098, 145114, 137730",3,1,2,0,0,0,3,1,2,0,0,0,3,1,2,0,0,0,251,189,52,137,175,53,122
202223,"AcademicYear","Multi-academy trust","CITY OF LONDON ACADEMIES TRUST",2705,"TR00514",4504128,10058170,"London","135835, 144962, 135587, 144511, 134222",5,0,4,1,0,0,0,0,5,4,0,4,0,0,0,0,0,4,"649","80020.3","1927.2","41.52","B","255","28052.8","739.8","37.92","B-","39%","390","51677.5","1174.4","44","B+","66","5455","158","34.53","Dist","43","3395","103","32.96","Dist-","65%","23","2060","55","37.45","Dist+","135835, 144962, 135587, 144511, 134222",5,0,4,1,0,0,5,0,4,1,0,0,4,0,4,0,0,0,737,649,255,390,66,43,23
202223,"AcademicYear","Multi-academy trust","CREATIVE EDUCATION TRUST",2816,"TR00604",7617529,10058707,"East Midlands","135665, 137100, 145952, 137781, 139819, 139961, 138858",7,1,6,0,0,0,0,1,6,7,1,6,0,0,0,0,1,6,"309","20922","721.9","28.98","C","40","2366","81.5","29.03","C","13%","261","18308","627.2","29.19","C","213","10772.5","359","30.01","Dist-","35","1862","68","27.38","Merit+","16%","176","8871.5","289.5","30.64","Dist-","135665, 137100, 145952, 137781, 139819, 139961, 138858",7,1,6,0,0,0,7,1,6,0,0,0,7,1,6,0,0,0,400,309,40,265,213,35,176
202223,"AcademicYear","Multi-academy trust","CUMBRIA EDUCATION TRUST",15765,"TR02488",7698631,10059094,"North West","141499, 146634, 137252",3,1,2,0,0,0,0,1,2,3,1,2,0,0,0,0,1,2,"149","11482","340.5","33.72","C+","19","1342","41.5","32.34","C+","13%","130","10140","299","33.91","C+","83","5080","150","33.87","Dist","11","725","24","30.21","Dist-","13%","72","4355","126","34.56","Dist","141499, 146634, 137252",3,1,2,0,0,0,3,1,2,0,0,0,3,1,2,0,0,0,172,149,19,130,83,11,72
202223,"AcademicYear","Multi-academy trust","DANES EDUCATIONAL TRUST",16254,"TR02032",7671949,10058906,"East of England","147535, 147246, 136901",3,3,0,0,0,0,0,2,1,3,3,0,0,0,0,0,2,1,"337","36773","990.7","37.12","B-","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","129","3114.5","109.5","28.44","Merit+","10","227","7.5","30.27","Dist-","8%","119","2887.5","102","28.31","Merit+","147535, 147246, 136901, 139416",4,3,0,0,1,0,4,3,0,0,1,0,4,3,0,0,1,0,472,386,29,356,150,12,138
202223,"AcademicYear","Multi-academy trust","DIVERSE ACADEMIES TRUST",2936,"TR00669",7664012,10058867,"East Midlands","144486, 138964, 137319, 136624, 137117, 139956",6,3,3,0,0,0,0,0,6,6,3,3,0,0,0,0,0,6,"267","20043","632.2","31.7","C+","37","2011","68.8","29.23","C","14%","222","17544","543.4","32.29","C+","173","8484.5","278","30.52","Dist-","35","1775.5","60.5","29.35","Merit+","20%","126","6184","200","30.92","Dist-","144486, 138964, 137319, 136624, 137117, 139956",6,3,3,0,0,0,6,3,3,0,0,0,6,3,3,0,0,0,336,267,37,227,173,35,133
202223,"AcademicYear","Multi-academy trust","E-ACT",2974,"TR00699",6526376,10058234,"South West","135973, 138374, 138073, 138235, 136032, 146518",6,0,6,0,0,0,0,0,6,6,0,6,0,0,0,0,0,6,"253","15809","630.2","25.09","C-","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","177","8905.5","339","26.27","Merit","58","2808.5","113.5","24.74","Merit","33%","116","5905","218.5","27.03","Merit+","135973, 138374, 138073, 138235, 136032, 146518",6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,386,253,87,162,177,58,116
202223,"AcademicYear","Multi-academy trust","EAST ANGLIAN SCHOOLS TRUST LTD",17335,"TR00774",7667407,10058884,"East of England","136998, 136834, 136969",3,3,0,0,0,0,0,2,1,3,3,0,0,0,0,0,2,1,"409","34737","1031.2","33.69","C+","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","179","7123.5","239.5","29.74","Merit+","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","136998, 136834, 136969",3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,480,409,31,371,179,22,157
202223,"AcademicYear","Multi-academy trust","EAST MIDLANDS EDUCATION TRUST",2987,"TR02426",7530373,10055367,"East Midlands","138641, 136628, 137628, 138191, 141259",5,5,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,4,"490","48971","1383.8","35.39","B-","34","2423","85.5","28.34","C","7%","454","46288","1292.3","35.82","B-","102","3837.5","122.5","31.33","Dist-","17","547.5","19.5","28.08","Merit+","17%","77","2997.5","95.5","31.39","Dist-","148299, 138641, 136628, 137628, 138191, 141259",6,6,0,0,0,0,6,6,0,0,0,0,5,5,0,0,0,0,632,583,45,535,119,20,98
202223,"AcademicYear","Multi-academy trust","EDUCATION SOUTH WEST",3643,"TR01237",7451553,10058417,"South West","136367, 137176, 136494",3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,"205","17460","508.6","34.33","C+","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","83","3345.5","113.5","29.48","Merit+","14","553","19","29.11","Merit+","17%","69","2792.5","94.5","29.55","Merit+","141749, 149247, 136367, 137176, 136494",5,4,0,0,1,0,5,4,0,0,1,0,5,4,0,0,1,0,387,271,32,237,110,22,87
202223,"AcademicYear","Multi-academy trust","EMMANUEL SCHOOLS FOUNDATION",16552,"TR03704",4464331,10064192,"North East","135007, 147178, 134223, 135619",4,1,3,0,0,0,0,1,3,4,1,3,0,0,0,0,1,3,"260","18526","610.4","30.35","C","43","2495","84.5","29.53","C","17%","217","16031","525.9","30.48","C","134","7330","238","30.8","Dist-","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","135007, 147178, 134223, 135619",4,1,3,0,0,0,4,1,3,0,0,0,4,1,3,0,0,0,348,260,43,217,134,37,97
202223,"AcademicYear","Multi-academy trust","FINHAM PARK MULTI-ACADEMY TRUST",15766,"TR00790",7700317,10059110,"West Midlands","142960, 136963, 141939",3,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"211","18779.17","597.1","31.45","C","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","142960, 136963, 141939, 148429",4,3,0,1,0,0,4,3,0,1,0,0,3,3,0,0,0,0,276,223,33,188,61,19,42
202223,"AcademicYear","Multi-academy trust","FUTURA LEARNING PARTNERSHIP",5253,"TR02421",7746787,10059285,"South West","141665, 142127, 137523",3,1,1,0,0,1,0,0,3,3,1,1,0,0,1,0,0,3,"164","13763","427.8","32.17","C+","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","64","1958","86","22.77","Merit-","10","245.5","12.5","19.64","Pass+","16%","54","1712.5","73.5","23.3","Merit-","141665, 142127, 137523",3,1,1,0,0,1,3,1,1,0,0,1,3,1,1,0,0,1,216,164,19,144,64,10,54
202223,"AcademicYear","Multi-academy trust","FUTURE ACADEMIES",3152,"TR00834",6543442,10043978,"London","143129, 135676, 144623, 146440, 147785, 135876",6,0,6,0,0,0,2,2,2,4,0,4,0,0,0,2,2,0,"246","19284","681.1","28.31","C-","61","5418","178.9","30.29","C","25%","185","13866","502.2","27.61","C-","59","2049","83","24.69","Merit","10","444","19","23.37","Merit","17%","42","1400","55","25.45","Merit","143129, 140966, 135676, 144623, 146440, 147785, 135876",7,0,6,1,0,0,7,0,6,1,0,0,4,0,4,0,0,0,295,262,71,191,59,10,49
202223,"AcademicYear","Multi-academy trust","GIRLS' LEARNING TRUST",15882,"TR01513",7627961,10058720,"London","136797, 136795, 136789",3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"522","66839","1603.2","41.69","B+","52","4907","147.1","33.36","C+","10%","467","61392","1445.1","42.48","B+","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","SUPP","136797, 136795, 136789",3,3,0,0,0,0,3,3,0,0,0,0,2,2,0,0,0,0,545,522,52,467,50,14,36
